RowName,Index,Level,Word,Texture
Read_001,1,1,개,/Game/CustomContents/UI/Texture/Animal/image_001.image_001
Read_002,2,1,고양이,/Game/CustomContents/UI/Texture/Animal/image_002.image_002
Read_003,3,1,새,/Game/CustomContents/UI/Texture/Animal/image_003.image_003
Read_004,4,1,물고기,/Game/CustomContents/UI/Texture/Animal/image_004.image_004
Read_005,5,1,소,/Game/CustomContents/UI/Texture/Animal/image_005.image_005
Read_006,6,1,닭,/Game/CustomContents/UI/Texture/Animal/image_006.image_006
Read_007,7,1,돼지,/Game/CustomContents/UI/Texture/Animal/image_007.image_007
Read_008,8,1,토끼,/Game/CustomContents/UI/Texture/Animal/image_008.image_008
Read_009,9,2,말,/Game/CustomContents/UI/Texture/Animal/image_009.image_009
Read_010,10,2,양,/Game/CustomContents/UI/Texture/Animal/image_010.image_010
Read_011,11,2,사슴,/Game/CustomContents/UI/Texture/Animal/image_011.image_011
Read_012,12,2,호랑이,/Game/CustomContents/UI/Texture/Animal/image_012.image_012
Read_013,13,2,곰,/Game/CustomContents/UI/Texture/Animal/image_013.image_013
Read_014,14,2,여우,/Game/CustomContents/UI/Texture/Animal/image_014.image_014
Read_015,15,2,원숭이,/Game/CustomContents/UI/Texture/Animal/image_015.image_015
Read_016,16,2,펭귄,/Game/CustomContents/UI/Texture/Animal/image_016.image_016
Read_017,17,3,기린,/Game/CustomContents/UI/Texture/Animal/image_017.image_017
Read_018,18,3,코끼리,/Game/CustomContents/UI/Texture/Animal/image_018.image_018
Read_019,19,3,치타,/Game/CustomContents/UI/Texture/Animal/image_019.image_019
Read_020,20,3,물개,/Game/CustomContents/UI/Texture/Animal/image_020.image_020
Read_021,21,3,하마,/Game/CustomContents/UI/Texture/Animal/image_021.image_021
Read_022,22,3,낙타,/Game/CustomContents/UI/Texture/Animal/image_022.image_022
Read_023,23,3,돌고래,/Game/CustomContents/UI/Texture/Animal/image_023.image_023
Read_024,24,3,박쥐,/Game/CustomContents/UI/Texture/Animal/image_024.image_024
